audio_recv_bitsReceivedPerSecond_3603961209,4648.0,7216.0,5784.0,6968.0,3040.0,2824.0,1120.0,4360.0,14600.0,11336.0,12056.0,10232.0,19552.0,31992.0,22688.0,16336.0,31664.0,13776.0,8688.0,5416.0,5776.0,19424.0,24984.0,12040.0,8448.0,9144.0,9952.0,9264.0,9592.0,9856.0,10568.0,5904.0,10904.0,9544.0,10000.0,8528.0,8344.0,8664.0,9480.0,8592.0,6896.0,6944.0,6424.0,7312.0,7400.0,7824.0,7464.0,7864.0,8008.0,8136.0,9376.0,30488.0,43600.0,36624.0,16520.0,19216.0,10000.0,10000.0,12904.0,12616.0,15656.0,10832.0,9152.0,8256.0,10872.0,11760.0,8240.0,15856.0,14376.0,12472.0,8256.0,10000.0,13160.0,16184.0,9128.0,11720.0,8272.0,10000.0,9064.0,11576.0,9248.0,14368.0,15272.0,18248.0,10000.0,9128.0,7384.0,10248.0,17616.0,8232.0
audio_recv_packetsReceivedPerSecond_3603961209,5.0,8.0,6.0,8.0,3.0,3.0,1.0,5.0,17.0,14.0,15.0,13.0,23.0,38.0,26.0,18.0,41.0,24.0,14.0,8.0,9.0,36.0,48.0,21.0,13.0,15.0,17.0,16.0,15.0,16.0,17.0,8.0,19.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,12.0,11.0,12.0,12.0,10.0,10.0,34.0,50.0,42.0,16.0,20.0,10.0,10.0,13.0,13.0,16.0,10.0,9.0,8.0,11.0,12.0,8.0,16.0,15.0,13.0,8.0,10.0,12.0,17.0,9.0,11.0,8.0,10.0,9.0,11.0,9.0,15.0,15.0,18.0,10.0,9.0,7.0,11.0,18.0,7.0
audio_recv_googCurrentDelayMs_3603961209,48.0,51.0,55.0,55.0,59.0,52.0,49.0,58.0,78.0,59.0,55.0,51.0,49.0,50.0,56.0,81.0,52.0,51.0,50.0,51.0,45.0,52.0,49.0,55.0,43.0,55.0,63.0,73.0,51.0,48.0,46.0,49.0,57.0,42.0,44.0,47.0,35.0,39.0,37.0,57.0,46.0,51.0,47.0,39.0,55.0,45.0,46.0,48.0,54.0,44.0,43.0,55.0,56.0,46.0,52.0,47.0,48.0,51.0,44.0,54.0,49.0,46.0,58.0,46.0,54.0,42.0,57.0,61.0,60.0,45.0,44.0,48.0,56.0,53.0,53.0,50.0,42.0,45.0,45.0,47.0,57.0,67.0,49.0,52.0,50.0,43.0,43.0,56.0,68.0,52.0
audio_recv_googJitterBufferMs_3603961209,2.0,2.0,2.0,2.0,7.0,2.0,1.0,1.0,30.0,22.0,2.0,2.0,2.0,25.0,11.0,80.0,22.0,5.0,2.0,1.0,5.0,25.0,22.0,6.0,1.0,7.0,30.0,20.0,3.0,2.0,3.0,1.0,14.0,2.0,4.0,11.0,1.0,6.0,3.0,7.0,7.0,6.0,4.0,2.0,7.0,1.0,3.0,23.0,13.0,7.0,8.0,29.0,29.0,1.0,1.0,2.0,3.0,4.0,2.0,11.0,1.0,3.0,12.0,4.0,7.0,1.0,10.0,7.0,13.0,0.0,4.0,3.0,7.0,6.0,11.0,2.0,4.0,1.0,0.0,2.0,13.0,13.0,1.0,8.0,0.0,4.0,4.0,6.0,13.0,13.0
audio_recv_googJitterReceived_3603961209,0.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
audio_recv_googPreferredJitterBufferMs_3603961209,20.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
video_recv_bitsReceivedPerSecond_3238436152,270464.0,189920.0,220176.0,197384.0,221992.0,212328.0,206568.0,225384.0,212696.0,203376.0,210800.0,219624.0,165552.0,180760.0,230584.0,220032.0,210424.0,232432.0,211480.0,200104.0,211040.0,212640.0,232424.0,201128.0,225784.0,215816.0,201272.0,233080.0,208680.0,202176.0,217136.0,211648.0,183896.0,178728.0,234304.0,225056.0,204592.0,237632.0,208488.0,203264.0,215624.0,210920.0,233176.0,190976.0,210648.0,227944.0,206520.0,233392.0,207096.0,202696.0,218480.0,212160.0,231464.0,192088.0,209664.0,227784.0,202608.0,233872.0,207024.0,205944.0,215352.0,215672.0,230248.0,193944.0,206912.0,230632.0,203488.0,232048.0,209224.0,204376.0,215280.0,215384.0,228840.0,196072.0,207624.0,224648.0,206192.0,230496.0,210344.0,202384.0,211672.0,218232.0,226192.0,200880.0,236016.0,213680.0,203672.0,228808.0,211120.0,206280.0
video_recv_packetsReceivedPerSecond_3238436152,66.0,62.0,60.0,59.0,63.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,59.0,61.0,60.0,60.0,60.0,60.0,59.0,60.0,61.0,62.0,60.0,60.0,60.0,59.0,60.0,60.0,60.0,58.0,61.0,62.0,60.0,59.0,61.0,60.0,60.0,60.0,60.0,60.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,59.0,60.0,60.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,59.0,60.0,60.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,59.0,60.0,59.0,59.0,60.0,60.0,60.0,59.0,58.0,60.0,60.0,60.0,62.0,60.0,60.0,60.0,60.0,59.0
video_recv_googCurrentDelayMs_3238436152,25.0,26.0,26.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
video_recv_googDecodeMs_3238436152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
