audio_send_bitsSentPerSecond,0.0,0.0,0.0,0.0,7712.0,25040.0,25208.0,25184.0,25144.0,25030.96903096903,25337.337337337336,24368.0,24703.296703296703,24480.48048048048,24863.136863136864,24792.792792792792,24799.2007992008,21117.117117117115,17968.0,25272.0,40400.0,41208.0,37616.0,20832.0,17062.937062937064,19755.755755755756,18336.0,20792.0,27220.77922077922,23335.335335335334,30616.0,18504.0,19576.0,20168.0,20339.66033966034,19739.73973973974,19584.0,27176.0,19072.0,20235.764235764236,20336.0,20108.108108108107,26784.0,21072.0,16720.0,16720.0,16720.0,24760.0,29280.0,27840.0,28504.0,26053.946053946052,36836.83683683684,39184.0,40400.0,21088.0,16720.0,16720.0,16720.0,16720.0,16703.296703296703,16720.0,16736.736736736737,16904.0,16536.0,16720.0,17968.0,25928.0,39288.0,40400.0,40400.0,41208.0,39592.0,41208.0,39592.0,31120.0,30632.0,20280.0,16720.0,16720.0,16904.0,24416.0,39992.0
audio_send_packetsSentPerSecond,0.0,0.0,0.0,0.0,16.0,50.0,50.0,50.0,50.0,49.95004995004995,50.050050050050054,50.0,50.94905094905095,49.049049049049046,49.95004995004995,50.050050050050054,49.95004995004995,50.050050050050054,50.0,50.0,50.0,51.0,49.0,50.0,49.95004995004995,51.051051051051054,50.0,49.0,50.94905094905095,50.050050050050054,49.0,51.0,49.0,50.0,50.94905094905095,49.049049049049046,51.0,49.0,50.0,49.95004995004995,50.0,51.051051051051054,49.0,50.0,50.0,50.0,50.0,50.0,51.0,49.0,50.0,49.95004995004995,50.050050050050054,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.95004995004995,50.0,50.050050050050054,51.0,49.0,50.0,50.0,51.0,49.0,50.0,50.0,51.0,49.0,51.0,49.0,50.0,51.0,49.0,50.0,50.0,51.0,49.0,50.0
video_send_bitsSentPerSecond,0.0,0.0,0.0,0.0,216024.0,322856.0,241360.0,260976.0,375976.0,231472.52747252746,182598.5985985986,204232.0,216887.1128871129,316388.3883883884,261546.45354645356,247567.56756756757,284443.55644355644,281913.9139139139,254296.0,198304.0,165432.0,211592.0,195864.0,209952.0,152455.54445554444,157413.41341341342,164320.0,171352.0,178373.62637362638,168560.56056056055,152352.0,93624.0,114744.0,63376.0,74245.75424575424,86558.55855855856,92448.0,49136.0,80560.0,55896.103896103894,63376.0,80968.96896896897,74832.0,82888.0,87800.0,99744.0,109304.0,117688.0,112720.0,132544.0,142576.0,121966.03396603397,111063.06306306306,110240.0,117368.0,119632.0,139224.0,141824.0,140552.0,164368.0,170189.8101898102,206672.0,213845.84584584585,233688.0,233096.0,233664.0,177456.0,153632.0,135288.0,144304.0,146240.0,174944.0,174200.0,201976.0,206824.0,209472.0,252120.0,260296.0,237552.0,292176.0,297568.0,210344.0,207888.0
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,0.0,0.0,0.0,0.0,28.0,44.0,33.0,35.0,55.0,29.97002997002997,27.027027027027028,30.0,29.97002997002997,48.048048048048045,58.94105894105894,60.06006006006006,59.94005994005994,60.06006006006006,63.0,60.0,60.0,61.0,60.0,60.0,59.94005994005994,60.06006006006006,60.0,59.0,60.93906093906094,60.06006006006006,54.0,34.0,55.0,32.0,40.95904095904096,59.05905905905906,45.0,21.0,31.0,38.96103896103896,60.0,61.06106106106106,60.0,59.0,60.0,61.0,60.0,60.0,60.0,59.0,60.0,60.93906093906094,59.05905905905906,60.0,61.0,59.0,61.0,59.0,61.0,60.0,58.94105894105894,61.0,61.06106106106106,60.0,59.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,61.0,60.0,60.0,60.0,60.0,60.0,59.0,61.0,60.0,59.0
video_send_googEncodeUsagePercent,0.0,0.0,0.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,53.0,49.0,47.0,64.0,64.0,52.0,47.0,43.0,39.0,36.0,33.0,30.0,28.0,26.0,24.0,22.0,21.0,19.0,18.0,17.0,16.0,15.0,15.0,64.0,64.0,64.0,46.0,42.0,38.0,35.0,32.0,29.0,26.0,24.0,22.0,21.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
video_send_googFrameHeightSent,0.0,0.0,0.0,0.0,720.0,720.0,720.0,720.0,540.0,540.0,540.0,540.0,540.0,360.0,360.0,360.0,360.0,360.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
video_send_googFrameRateSent,0.0,0.0,0.0,0.0,23.0,21.0,15.0,17.0,27.0,29.0,23.0,22.0,26.0,40.0,61.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,61.0,61.0,55.0,34.0,55.0,33.0,41.0,61.0,45.0,22.0,30.0,40.0,61.0,61.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_send_googFrameWidthSent,0.0,0.0,0.0,0.0,1280.0,1280.0,1280.0,1280.0,960.0,960.0,960.0,960.0,960.0,640.0,640.0,640.0,640.0,640.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
video_send_googRtt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1202.0,0.0,677.0,590.0,413.0,289.0,224.0,157.0,0.0,1.0,1.0,1.0,34.0,24.0,0.0,133.0,93.0,125.0,87.0,61.0,43.0,30.0,21.0,15.0,54.0,92.0,0.0,221.0,155.0,115.0,80.0,56.0,39.0,27.0,0.0,1.0,0.0,6.0,4.0,3.0,2.0,1.0,1.0,17.0,75.0,52.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,34.0,25.0,17.0,12.0,8.0,6.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,80.0,109.0,76.0,53.0,37.0,26.0,0.0
